
-148.20,-27.00
-148.20,-27.00
-136.20,-32.00
-136.20,-32.00
-121.20,-52.00
-121.20,-52.00
-100.20,-65.00
-100.20,-65.00
-88.20,-72.00
-88.20,-72.00
-63.20,-83.00
-63.20,-83.00
-46.20,-87.00
-46.20,-87.00
-28.20,-91.00
-28.20,-91.00
-2.20,-91.00
-2.20,-91.00
19.80,-91.00
19.80,-91.00
46.80,-91.00
46.80,-91.00
78.80,-68.00
78.80,-68.00
82.80,-43.00
82.80,-43.00
85.80,-31.00
85.80,-31.00
86.80,-7.00
86.80,-7.00
88.80,15.00
88.80,15.00
90.80,27.00
90.80,27.00
112.80,32.00
112.80,32.00
117.80,1.00
117.80,1.00
114.80,-25.00
114.80,-25.00
106.80,-32.00
106.80,-32.00
110.80,-9.00
110.80,-9.00
110.80,-24.00
110.80,-24.00
100.80,-70.00
100.80,-70.00
185.80,64.00
185.80,64.00
170.80,91.00
170.80,91.00
141.80,93.00
141.80,93.00
109.80,55.00
109.80,55.00
135.80,49.00
135.80,49.00
158.80,96.00
158.80,96.00
170.80,120.00
170.80,120.00
-85.20,-84.00
-85.20,-84.00
-101.20,-86.00
-101.20,-86.00
-138.20,-72.00
-138.20,-72.00
-128.20,-27.00
-128.20,-27.00
-145.20,-23.00
-145.20,-23.00
-31.20,-84.00
-31.20,-84.00
8.80,-70.00
8.80,-70.00
-6.20,-72.00
-6.20,-72.00
0.80,-98.00
0.80,-98.00
10.80,-105.00
10.80,-105.00
17.80,-108.00
17.80,-108.00
29.80,-68.00
29.80,-68.00
57.80,-84.00
57.80,-84.00
66.80,-94.00
66.80,-94.00
-40.20,-104.00
-40.20,-104.00
